,seed,sample,scale,j,c,ARS,Nfac,ARS_Conf_chi,ARS_Conf_df,ARS_Conf_RMSEA,ARS_Conf_cfi,ARS_Thr_chi,ARS_Thr_df,ARS_Thr_RMSEA,ARS_Thr_cfi,ARS_Load_chi,ARS_Load_df,ARS_Load_RMSEA,ARS_Load_cfi,ARS_Int_chi,ARS_Int_df,ARS_Int_RMSEA,ARS_Int_cfi
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,110.4 (12.7),106.000,0.013 (0.011),0.997 (0.003),134.3 (13.7),130.000,0.012 (0.010),0.997 (0.004),145.6 (15.3),141.000,0.011 (0.011),0.997 (0.004),155 (15.4),151.000,0.011 (0.010),0.997 (0.004)
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,515.1 (19.7),502.000,0.009 (0.007),0.998 (0.002),563.2 (20.6),550.000,0.009 (0.007),0.998 (0.002),588.2 (22.7),573.000,0.009 (0.007),0.997 (0.003),610.5 (24.7),595.000,0.009 (0.007),0.997 (0.003)
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,104.5 (14.8),106.000,0.004 (0.006),0.999 (0.001),128.4 (15.8),130.000,0.004 (0.005),0.999 (0.001),143.8 (17.9),141.000,0.005 (0.006),0.999 (0.001),154.1 (17.9),151.000,0.005 (0.006),0.999 (0.001)
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,510.8 (30.2),502.000,0.004 (0.004),0.999 (0.001),559.3 (31),550.000,0.004 (0.004),0.999 (0.001),590.4 (32.7),573.000,0.005 (0.004),0.999 (0.001),612.6 (34.8),595.000,0.005 (0.004),0.999 (0.001)
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,109.3 (12.4),106.000,0.012 (0.011),0.997 (0.004),133.1 (13.9),130.000,0.011 (0.011),0.997 (0.004),145.2 (14.8),141.000,0.011 (0.011),0.997 (0.004),154.7 (15.7),151.000,0.011 (0.011),0.996 (0.004)
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,513.9 (23.1),502.000,0.009 (0.007),0.998 (0.003),562.3 (23.8),550.000,0.009 (0.007),0.997 (0.003),589.5 (26.2),573.000,0.010 (0.007),0.997 (0.003),612.6 (27.9),595.000,0.010 (0.007),0.997 (0.003)
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,107.0 (12.8),106.000,0.005 (0.005),0.999 (0.001),131.4 (14.4),130.000,0.005 (0.005),0.999 (0.001),145.6 (16.9),141.000,0.005 (0.006),0.999 (0.001),155.3 (17.6),151.000,0.005 (0.006),0.999 (0.001)
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,513.3 (31.2),502.000,0.004 (0.004),0.999 (0.001),562.3 (31),550.000,0.004 (0.004),0.999 (0.001),594.9 (37.2),573.000,0.005 (0.004),0.999 (0.001),619.6 (37.9),595.000,0.006 (0.004),0.999 (0.001)
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,102.0 (10.7),106.000,0.005 (0.008),0.999 (0.002),125.7 (13.4),130.000,0.006 (0.009),0.999 (0.002),139.4 (13),141.000,0.007 (0.009),0.999 (0.002),149.2 (13.9),151.000,0.007 (0.009),0.998 (0.003)
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,510.3 (26.8),502.000,0.008 (0.008),0.998 (0.002),550.4 (24.3),550.000,0.006 (0.006),0.999 (0.002),581.8 (26.4),573.000,0.008 (0.007),0.998 (0.002),604.8 (26.7),595.000,0.008 (0.007),0.998 (0.002)
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,97.6 (13.9),106.000,0.002 (0.004),1.000 (0.001),119.9 (16.3),130.000,0.002 (0.004),1.000 (0.001),136.5 (13.9),141.000,0.003 (0.004),1.000 (0.001),148 (15.7),151.000,0.003 (0.005),1.000 (0.001)
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,510.6 (30.9),502.000,0.004 (0.004),0.999 (0.001),554 (34.1),550.000,0.003 (0.004),0.999 (0.001),597.7 (33.8),573.000,0.006 (0.004),0.999 (0.001),618.4 (36.8),595.000,0.005 (0.004),0.999 (0.001)
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,113.4 (14.8),106.000,0.014 (0.013),0.999 (0.001),138 (17.3),130.000,0.013 (0.013),0.999 (0.002),155.5 (18.2),141.000,0.018 (0.012),0.998 (0.002),165.2 (18.5),151.000,0.017 (0.012),0.998 (0.002)
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,593.7 (41.9),502.000,0.026 (0.007),0.996 (0.002),592.7 (30.2),550.000,0.016 (0.007),0.998 (0.001),653.6 (44),573.000,0.023 (0.007),0.997 (0.002),672.3 (44.9),595.000,0.022 (0.007),0.997 (0.002)
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,135.9 (15.6),106.000,0.016 (0.005),0.999 (0.000),161.6 (17.5),130.000,0.015 (0.005),0.999 (0.000),190.5 (21.6),141.000,0.018 (0.004),0.999 (0.001),197.8 (22),151.000,0.017 (0.004),0.999 (0.001)
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,899.2 (89.2),502.000,0.028 (0.003),0.996 (0.001),752.7 (49.4),550.000,0.019 (0.002),0.998 (0.001),907.6 (76.5),573.000,0.024 (0.003),0.996 (0.001),912.6 (72.8),595.000,0.023 (0.003),0.996 (0.001)
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,114.8 (16.6),106.000,0.016 (0.013),0.999 (0.001),136.5 (16.8),130.000,0.013 (0.012),0.999 (0.001),154.2 (18.8),141.000,0.017 (0.012),0.999 (0.001),164 (20.9),151.000,0.016 (0.013),0.999 (0.001)
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,585.2 (40.0),502.000,0.025 (0.006),0.998 (0.001),586.5 (24.7),550.000,0.015 (0.006),0.999 (0.001),648.6 (40.6),573.000,0.022 (0.006),0.998 (0.001),665.3 (39.5),595.000,0.021 (0.007),0.998 (0.001)
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,144.9 (18.6),106.000,0.018 (0.005),0.999 (0.000),160.6 (19.3),130.000,0.014 (0.005),1.000 (0.000),203.4 (26.8),141.000,0.020 (0.005),0.999 (0.000),210.9 (26),151.000,0.019 (0.005),0.999 (0.000)
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,873.4 (79.2),502.000,0.027 (0.003),0.998 (0.000),722.3 (52.4),550.000,0.017 (0.003),0.999 (0.000),890.6 (79.3),573.000,0.023 (0.003),0.998 (0.000),899.1 (78.5),595.000,0.022 (0.003),0.998 (0.000)
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,101.0 (11.4),106.000,0.005 (0.008),1.000 (0.000),123.2 (12.8),130.000,0.004 (0.008),1.000 (0.000),142.5 (15.1),141.000,0.009 (0.011),0.999 (0.001),148.4 (13.3),151.000,0.007 (0.009),1.000 (0.001)
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,505.3 (23.5),502.000,0.006 (0.007),1.000 (0.001),547.8 (20.9),550.000,0.004 (0.006),1.000 (0.000),582.3 (23.8),573.000,0.008 (0.007),0.999 (0.001),607.9 (23.3),595.000,0.008 (0.007),0.999 (0.001)
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,100.6 (13.6),106.000,0.003 (0.005),1.000 (0.000),125 (15.4),130.000,0.003 (0.005),1.000 (0.000),148.9 (16.7),141.000,0.007 (0.006),1.000 (0.000),160.6 (17),151.000,0.007 (0.006),1.000 (0.000)
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,498.6 (26.4),502.000,0.002 (0.003),1.000 (0.000),552.7 (27.2),550.000,0.003 (0.004),1.000 (0.000),609.1 (38.2),573.000,0.007 (0.004),1.000 (0.000),627.1 (40),595.000,0.006 (0.005),1.000 (0.000)
