,seed,sample,scale,j,c,ARS,Nfac,NoARS_Conf_chi,NoARS_Conf_df,NoARS_Conf_RMSEA,NoARS_Conf_cfi,NoARS_Thr_chi,NoARS_Thr_df,NoARS_Thr_RMSEA,NoARS_Thr_cfi,NoARS_Load_chi,NoARS_Load_df,NoARS_Load_RMSEA,NoARS_Load_cfi,NoARS_Int_chi,NoARS_Int_df,NoARS_Int_RMSEA,NoARS_Int_cfi
13,200814, 250.000,balanced,12.000,5.000,0.300,1.000,137.1 (18.6),108.000,0.031 (0.012),0.988 (0.008),162.5 (19.7),132.000,0.028 (0.012),0.988 (0.008),171 (19.4),143.000,0.026 (0.011),0.989 (0.008),225.4 (28.6),NA,0.042 (0.009),0.972 (0.012)
19,200820, 250.000,balanced,24.000,5.000,0.300,1.000,586.0 (39.1),504.000,0.025 (0.006),0.988 (0.006),635.7 (40.5),552.000,0.024 (0.006),0.988 (0.006),655.9 (39.9),575.000,0.023 (0.006),0.989 (0.006),738.4 (49.9),NA,0.030 (0.006),0.980 (0.007)
14,200815,1000.000,balanced,12.000,5.000,0.300,1.000,208.6 (29.5),108.000,0.030 (0.005),0.990 (0.003),239.1 (31.8),132.000,0.028 (0.004),0.989 (0.003),241.6 (32),143.000,0.026 (0.004),0.990 (0.003),450.1 (64.4),NA,0.044 (0.005),0.971 (0.006)
20,200821,1000.000,balanced,24.000,5.000,0.300,1.000,853.1 (69.0),504.000,0.026 (0.003),0.988 (0.003),910.5 (70.2),552.000,0.025 (0.002),0.987 (0.003),914.7 (70),575.000,0.024 (0.003),0.988 (0.003),1253.1 (96.9),NA,0.033 (0.002),0.977 (0.004)
15,200816, 250.000,semi-balanced,12.000,5.000,0.300,1.000,135.3 (17.4),108.000,0.030 (0.012),0.988 (0.007),160.7 (18.9),132.000,0.027 (0.012),0.988 (0.008),168.3 (17.9),143.000,0.025 (0.011),0.989 (0.007),211.9 (26.1),NA,0.038 (0.010),0.976 (0.011)
21,200822, 250.000,semi-balanced,24.000,5.000,0.300,1.000,580.6 (36.8),504.000,0.024 (0.006),0.989 (0.006),630.5 (37.8),552.000,0.023 (0.006),0.988 (0.006),651 (38.1),575.000,0.022 (0.006),0.989 (0.006),733.7 (48),NA,0.030 (0.005),0.980 (0.008)
16,200817,1000.000,semi-balanced,12.000,5.000,0.300,1.000,208.2 (28.9),108.000,0.030 (0.004),0.990 (0.003),239.3 (31.1),132.000,0.028 (0.004),0.989 (0.003),232.6 (27.5),143.000,0.025 (0.004),0.991 (0.003),380.1 (47.4),NA,0.038 (0.004),0.977 (0.005)
22,200823,1000.000,semi-balanced,24.000,5.000,0.300,1.000,844.1 (71.3),504.000,0.026 (0.003),0.987 (0.003),901.9 (72),552.000,0.025 (0.003),0.987 (0.003),895 (69.5),575.000,0.023 (0.003),0.988 (0.003),1220.2 (100.6),NA,0.032 (0.003),0.977 (0.004)
17,200818, 250.000,unbalanced,12.000,5.000,0.300,1.000,112.4 (11.8),108.000,0.012 (0.011),0.997 (0.003),137.3 (13.2),132.000,0.011 (0.011),0.997 (0.004),150.4 (16.7),143.000,0.013 (0.012),0.996 (0.004),166.1 (18.6),NA,0.016 (0.012),0.995 (0.005)
23,200824, 250.000,unbalanced,24.000,5.000,0.300,1.000,518.6 (23.9),504.000,0.010 (0.007),0.998 (0.002),567.1 (24.8),552.000,0.009 (0.007),0.998 (0.003),589.4 (26.2),575.000,0.009 (0.007),0.997 (0.003),623.4 (27.4),NA,0.012 (0.007),0.996 (0.003)
18,200819,1000.000,unbalanced,12.000,5.000,0.300,1.000,109.6 (13.9),108.000,0.005 (0.006),0.999 (0.001),134.2 (15.6),132.000,0.005 (0.006),0.999 (0.001),150 (17.8),143.000,0.007 (0.006),0.999 (0.001),180.8 (20.1),NA,0.012 (0.006),0.998 (0.002)
24,200825,1000.000,unbalanced,24.000,5.000,0.300,1.000,527.0 (30.5),504.000,0.006 (0.004),0.999 (0.001),575.5 (31.6),552.000,0.006 (0.004),0.999 (0.001),604.1 (32.9),575.000,0.006 (0.004),0.999 (0.001),688.1 (42.7),NA,0.012 (0.003),0.997 (0.001)
25,200826, 250.000,balanced,12.000,5.000,0.600,1.000,546.6 (91.3),108.000,0.127 (0.013),0.956 (0.012),598 (97.7),132.000,0.118 (0.013),0.953 (0.013),583.3 (92),143.000,0.111 (0.012),0.956 (0.012),734.3 (97.8),NA,0.123 (0.011),0.942 (0.013)
31,200832, 250.000,balanced,24.000,5.000,0.600,1.000,1838.3 (182.4),504.000,0.103 (0.007),0.942 (0.011),1919.3 (188.6),552.000,0.099 (0.007),0.941 (0.012),1895.3 (184.6),575.000,0.096 (0.007),0.943 (0.011),2048.9 (197),NA,0.098 (0.007),0.937 (0.012)
26,200827,1000.000,balanced,12.000,5.000,0.600,1.000,1964.8 (193.6),108.000,0.131 (0.007),0.953 (0.006),2119.6 (208.7),132.000,0.123 (0.006),0.949 (0.006),2002.6 (192.3),143.000,0.114 (0.006),0.953 (0.006),2602.4 (209.5),NA,0.126 (0.005),0.938 (0.007)
32,200833,1000.000,balanced,24.000,5.000,0.600,1.000,6451.0 (492.5),504.000,0.109 (0.005),0.933 (0.008),6695.7 (512.2),552.000,0.105 (0.004),0.930 (0.008),6514.8 (501),575.000,0.102 (0.004),0.933 (0.008),7136.4 (520.5),NA,0.105 (0.004),0.926 (0.008)
27,200828, 250.000,semi-balanced,12.000,5.000,0.600,1.000,898.6 (119.6),108.000,0.171 (0.013),0.955 (0.013),981.9 (129.3),132.000,0.160 (0.012),0.952 (0.013),946.5 (122.4),143.000,0.150 (0.012),0.954 (0.012),1056.7 (126.6),NA,0.153 (0.011),0.949 (0.013)
33,200834, 250.000,semi-balanced,24.000,5.000,0.600,1.000,2527.1 (302.1),504.000,0.127 (0.010),0.954 (0.010),2637.4 (313.4),552.000,0.123 (0.009),0.953 (0.011),2613.2 (310.2),575.000,0.119 (0.009),0.954 (0.010),2750.2 (318),NA,0.120 (0.009),0.952 (0.010)
28,200829,1000.000,semi-balanced,12.000,5.000,0.600,1.000,3227.4 (250.4),108.000,0.170 (0.007),0.954 (0.006),3507.3 (272.8),132.000,0.160 (0.006),0.951 (0.007),3337.6 (267.9),143.000,0.149 (0.006),0.953 (0.007),3806 (293.4),NA,0.154 (0.006),0.947 (0.007)
34,200835,1000.000,semi-balanced,24.000,5.000,0.600,1.000,9248.3 (627.1),504.000,0.132 (0.005),0.951 (0.006),9631.4 (653.6),552.000,0.128 (0.005),0.949 (0.006),9508.8 (651),575.000,0.125 (0.005),0.950 (0.006),10135.9 (668.6),NA,0.126 (0.004),0.946 (0.006)
29,200830, 250.000,unbalanced,12.000,5.000,0.600,1.000,109.6 (12.6),108.000,0.010 (0.011),1.000 (0.001),134.9 (14),132.000,0.010 (0.011),0.999 (0.001),152.1 (15.4),143.000,0.014 (0.011),0.999 (0.001),163.6 (16.7),NA,0.014 (0.012),0.999 (0.001)
35,200836, 250.000,unbalanced,24.000,5.000,0.600,1.000,513.7 (23.5),504.000,0.008 (0.007),0.999 (0.001),562 (24),552.000,0.008 (0.007),0.999 (0.001),588.9 (23.9),575.000,0.009 (0.007),0.999 (0.001),621.7 (27),NA,0.011 (0.007),0.999 (0.001)
30,200831,1000.000,unbalanced,12.000,5.000,0.600,1.000,113.4 (14.9),108.000,0.007 (0.006),1.000 (0.000),139.2 (15.7),132.000,0.007 (0.006),1.000 (0.000),173.2 (22.3),143.000,0.014 (0.006),0.999 (0.000),191.5 (23.4),NA,0.015 (0.005),0.999 (0.000)
36,200837,1000.000,unbalanced,24.000,5.000,0.600,1.000,515.9 (27.7),504.000,0.004 (0.004),1.000 (0.000),566.6 (28.5),552.000,0.005 (0.004),1.000 (0.000),622.4 (35.8),575.000,0.008 (0.004),1.000 (0.000),690.2 (42.5),NA,0.012 (0.003),0.999 (0.000)
